"487","Luohe","China","1149350","1096233","0.0485"
"488","Salem","India","1146334","1123873","0.0200"
"489","Aguascalientes","Mexico","1143281","1124909","0.0163"
"490","Ufa","Russia","1142399","1139561","0.0025"
"491","Bujumbura","Burundi","1139265","1074642","0.0601"
"492","Maputo","Mozambique","1138960","1121697","0.0154"
"493","Bandar Lampung","Indonesia","1138359","1114740","0.0212"
"494","Rostov-on-Don","Russia","1138025","1137147","0.0008"
"495","Cologne","Germany","1136992","1128652","0.0074"
"496","Yueqing","China","1135548","1098931","0.0333"
"497","Saharanpur","India","1133891","1094581","0.0359"
"498","Shimkent","Kazakhstan","1125804","1093289","0.0297"
"499","Yongin","South Korea","1120784","1103265","0.0159"
"500","Xinxiang","China","1120346","1100407","0.0181"
"501","Bazhong","China","1119608","1057600","0.0586"
"502","Xiongan","China","1117707","1045719","0.0688"
"503","Zaozhuang","China","1117176","1101823","0.0139"
"504","San Salvador","El Salvador","1110681","1107305","0.0030"
"505","Cuernavaca","Mexico","1107476","1091173","0.0149"
"506","Wenling","China","1101419","1069840","0.0295"
"507","Panjin","China","1098267","1075647","0.0210"
"508","Chihuahua","Mexico","1096429","1075861","0.0191"
"509","Jalandhar","India","1096068","1074383","0.0202"
"510","Goyang","South Korea","1094880","1082815","0.0111"
"511","Fuyang","China","1093520","1065192","0.0266"
"512","Yerevan","Armenia","1092028","1089181","0.0026"
"513","Siliguri","India","1091949","1056551","0.0335"
